Account_ID,Account_Number,Bank_Name,Owner_ID
AC00108,142552000000.00,ICICI Bank,A00903
AC00109,928063000000.00,Karnataka Bank,A01259
AC00110,257990000000.00,Union Bank of India,A01273
AC00111,303657000000.00,Axis Bank,A00574
AC00112,885857000000.00,Union Bank of India,A01919
AC00113,369705000000.00,State Bank of India,A00517
AC00114,698569000000.00,Axis Bank,A01301
AC00115,208320000000.00,HDFC Bank,A00758
AC00116,882944000000.00,Karnataka Bank,A00619
AC00117,698665000000.00,Karnataka Bank,A01124
AC00118,803468000000.00,Axis Bank,A01403
AC00119,175986000000.00,Axis Bank,A01814
AC00120,638749000000.00,Axis Bank,A01369
AC00121,611227000000.00,State Bank of India,A00252
AC00122,962895000000.00,Union Bank of India,A01163
AC00123,120261000000.00,Karnataka Bank,A01377
AC00124,777140000000.00,Union Bank of India,A01640
AC00125,941535000000.00,ICICI Bank,A01238
AC00126,828401000000.00,Union Bank of India,A00796
AC00127,596773000000.00,State Bank of India,A00513
AC00128,860390000000.00,Union Bank of India,A00973
AC00129,464776000000.00,Canara Bank,A00829
AC00130,392189000000.00,State Bank of India,A00805
AC00131,883362000000.00,Canara Bank,A01741
AC00132,672883000000.00,Canara Bank,A01906
AC00133,289951000000.00,Axis Bank,A00245
AC00134,346706000000.00,ICICI Bank,A00103
AC00135,696262000000.00,State Bank of India,A00586
AC00136,983361000000.00,Axis Bank,A00063
AC00137,912610000000.00,Karnataka Bank,A00814
AC00138,176317000000.00,Axis Bank,A01855
AC00139,385554000000.00,Axis Bank,A01206
AC00140,940041000000.00,HDFC Bank,A00306
AC00141,284922000000.00,Karnataka Bank,A00032
AC00142,428669000000.00,HDFC Bank,A00921
AC00143,667768000000.00,Karnataka Bank,A01335
AC00144,857840000000.00,Union Bank of India,A00027
AC00145,256768000000.00,Union Bank of India,A01182
AC00146,655188000000.00,ICICI Bank,A01197
AC00147,285747000000.00,State Bank of India,A01261
AC00148,919471000000.00,Canara Bank,A01666
AC00149,922061000000.00,Union Bank of India,A01087
AC00150,680787000000.00,Canara Bank,A01673
AC00151,206007000000.00,State Bank of India,A01022
AC00152,714826000000.00,Union Bank of India,A00458
AC00153,701670000000.00,Axis Bank,A01985
AC00154,494901000000.00,Canara Bank,A00174
AC00155,529802000000.00,ICICI Bank,A00366
AC00156,471510000000.00,Canara Bank,A00676
AC00157,781332000000.00,Union Bank of India,A01919
AC00158,270923000000.00,Axis Bank,A01839
AC00159,347927000000.00,Union Bank of India,A01045
AC00160,905386000000.00,HDFC Bank,A00891
AC00161,452246000000.00,HDFC Bank,A01459
AC00162,301669000000.00,Union Bank of India,A00011
AC00163,410523000000.00,ICICI Bank,A01549
AC00164,306714000000.00,Canara Bank,A00265
AC00165,751109000000.00,Canara Bank,A00566
AC00166,579873000000.00,State Bank of India,A01974
AC00167,547955000000.00,Axis Bank,A00829
AC00168,367962000000.00,ICICI Bank,A00642
AC00169,268076000000.00,ICICI Bank,A01596
AC00170,423460000000.00,State Bank of India,A01268
AC00171,117987000000.00,Union Bank of India,A00785
AC00172,775433000000.00,Canara Bank,A00967
AC00173,557376000000.00,Karnataka Bank,A01430
AC00174,810310000000.00,Canara Bank,A01893
AC00175,808950000000.00,ICICI Bank,A00899
AC00176,826067000000.00,State Bank of India,A01941
AC00177,877147000000.00,Karnataka Bank,A00821
AC00178,695225000000.00,ICICI Bank,A01965
AC00179,922194000000.00,Union Bank of India,A01296
AC00180,576427000000.00,Axis Bank,A00472
AC00181,703230000000.00,HDFC Bank,A00117
AC00182,511642000000.00,Axis Bank,A01461
AC00183,243695000000.00,Canara Bank,A01955
AC00184,420484000000.00,Union Bank of India,A00845
AC00185,445088000000.00,HDFC Bank,A01306
AC00186,147065000000.00,State Bank of India,A00930
AC00187,926857000000.00,Axis Bank,A01910
AC00188,799704000000.00,HDFC Bank,A00755
AC00189,725653000000.00,Union Bank of India,A01629
AC00190,988054000000.00,HDFC Bank,A00188
AC00191,665234000000.00,ICICI Bank,A00016
AC00192,197445000000.00,Canara Bank,A00794
AC00193,944120000000.00,Karnataka Bank,A00958
AC00194,546673000000.00,Karnataka Bank,A01528
AC00195,829782000000.00,Canara Bank,A01780
AC00196,932287000000.00,Canara Bank,A01557
AC00197,682943000000.00,ICICI Bank,A00568
AC00198,135427000000.00,ICICI Bank,A01039
AC00199,715754000000.00,Canara Bank,A01070
AC00200,279866000000.00,Karnataka Bank,A01986
AC00201,661638000000.00,Canara Bank,A01647
AC00202,101674000000.00,Axis Bank,A01588
AC00203,698715000000.00,ICICI Bank,A00528
AC00204,387442000000.00,HDFC Bank,A00372
AC00205,758305000000.00,State Bank of India,A01895
AC00206,133455000000.00,Karnataka Bank,A01628
AC00207,143938000000.00,Union Bank of India,A00480
AC00208,520040000000.00,Canara Bank,A01833
AC00209,104408000000.00,Axis Bank,A01755
AC00210,213293000000.00,Karnataka Bank,A00827
AC00211,368236000000.00,Union Bank of India,A00166
AC00212,924023000000.00,State Bank of India,A00050
AC00213,819370000000.00,Union Bank of India,A01063
AC00214,134026000000.00,ICICI Bank,A01258
AC00215,592703000000.00,Union Bank of India,A00753
AC00216,463057000000.00,Karnataka Bank,A01797
AC00217,223641000000.00,Union Bank of India,A01587
AC00218,811687000000.00,Axis Bank,A01344
AC00219,115404000000.00,State Bank of India,A01129
AC00220,181455000000.00,Axis Bank,A01852
AC00221,459834000000.00,Union Bank of India,A01860
AC00222,859590000000.00,State Bank of India,A01260
AC00223,828902000000.00,Karnataka Bank,A01008
AC00224,774936000000.00,Axis Bank,A01564
AC00225,915694000000.00,State Bank of India,A01194
AC00226,193063000000.00,Karnataka Bank,A01025
AC00227,400851000000.00,Union Bank of India,A00209
AC00228,489104000000.00,Axis Bank,A01179
AC00229,225366000000.00,Axis Bank,A01988
AC00230,418649000000.00,Axis Bank,A00878
AC00231,995858000000.00,HDFC Bank,A01074
AC00232,149265000000.00,State Bank of India,A01463
AC00233,648556000000.00,State Bank of India,A00751
AC00234,565849000000.00,Axis Bank,A01090
AC00235,866291000000.00,ICICI Bank,A01866
AC00236,489155000000.00,HDFC Bank,A00609
AC00237,483431000000.00,Axis Bank,A00585
AC00238,290545000000.00,HDFC Bank,A01450
AC00239,608777000000.00,State Bank of India,A01792
AC00240,437086000000.00,Canara Bank,A00874
AC00241,858774000000.00,Karnataka Bank,A00344
AC00242,904159000000.00,Axis Bank,A01636
AC00243,145096000000.00,HDFC Bank,A00056
AC00244,385564000000.00,HDFC Bank,A00229
AC00245,841324000000.00,Union Bank of India,A01257
AC00246,227155000000.00,ICICI Bank,A00255
AC00247,790717000000.00,HDFC Bank,A01049
AC00248,464688000000.00,State Bank of India,A01353
AC00249,108302000000.00,Union Bank of India,A01433
AC00250,627393000000.00,Union Bank of India,A00405
AC00251,218650000000.00,Canara Bank,A01887
AC00252,965043000000.00,Canara Bank,A00427
AC00253,688096000000.00,ICICI Bank,A00862
AC00254,574498000000.00,Karnataka Bank,A01142
AC00255,369342000000.00,Union Bank of India,A01371
AC00256,951151000000.00,Karnataka Bank,A01059
AC00257,123752000000.00,Union Bank of India,A01227
AC00258,242127000000.00,Union Bank of India,A00441
AC00259,800026000000.00,Canara Bank,A00190
AC00260,672343000000.00,State Bank of India,A01922
AC00261,903889000000.00,Union Bank of India,A00150
AC00262,276205000000.00,Canara Bank,A01030
AC00263,225862000000.00,Axis Bank,A01100
AC00264,212733000000.00,Union Bank of India,A00483
AC00265,382002000000.00,Canara Bank,A00672
AC00266,278393000000.00,Canara Bank,A00037
AC00267,213807000000.00,State Bank of India,A01898
AC00268,492381000000.00,State Bank of India,A01452
AC00269,986930000000.00,ICICI Bank,A00747
AC00270,188939000000.00,HDFC Bank,A01155
AC00271,323976000000.00,Union Bank of India,A01451
AC00272,741745000000.00,State Bank of India,A00741
AC00273,622211000000.00,Canara Bank,A00103
AC00274,450930000000.00,State Bank of India,A00183
AC00275,955933000000.00,State Bank of India,A00129
AC00276,138033000000.00,Union Bank of India,A01916
AC00277,549176000000.00,Karnataka Bank,A01810
AC00278,916345000000.00,HDFC Bank,A01024
AC00279,581420000000.00,Union Bank of India,A01949
AC00280,136074000000.00,HDFC Bank,A00109
AC00281,402270000000.00,ICICI Bank,A01213
AC00282,487059000000.00,Union Bank of India,A00458
AC00283,660123000000.00,Axis Bank,A01249
AC00284,496653000000.00,Canara Bank,A01906
AC00285,941331000000.00,Karnataka Bank,A01442
AC00286,228219000000.00,Axis Bank,A00780
AC00287,286154000000.00,State Bank of India,A01472
AC00288,889902000000.00,Axis Bank,A01751
AC00289,553995000000.00,Axis Bank,A01825
AC00290,594674000000.00,Axis Bank,A01531
AC00291,646142000000.00,Axis Bank,A01696
AC00292,165598000000.00,State Bank of India,A01484
AC00293,302386000000.00,ICICI Bank,A00003
AC00294,559811000000.00,Canara Bank,A00970
AC00295,871339000000.00,Karnataka Bank,A01518
AC00296,222386000000.00,Axis Bank,A01500
AC00297,175425000000.00,HDFC Bank,A01909
AC00298,437640000000.00,HDFC Bank,A00881
AC00299,503087000000.00,State Bank of India,A01945
AC00300,347282000000.00,State Bank of India,A01214
AC00301,330202000000.00,ICICI Bank,A00895
AC00302,507379000000.00,ICICI Bank,A01601
AC00303,875119000000.00,State Bank of India,A01826
AC00304,534163000000.00,Union Bank of India,A01723
AC00305,991319000000.00,State Bank of India,A00504
AC00306,917121000000.00,Union Bank of India,A00301
AC00307,790838000000.00,HDFC Bank,A00136
AC00308,586391000000.00,Canara Bank,A00086
AC00309,534634000000.00,HDFC Bank,A01482
AC00310,663274000000.00,Karnataka Bank,A01761
AC00311,536986000000.00,Karnataka Bank,A01130
AC00312,152552000000.00,Union Bank of India,A01724
AC00313,796657000000.00,HDFC Bank,A00731
AC00314,903165000000.00,Karnataka Bank,A01963
AC00315,424271000000.00,ICICI Bank,A01616
AC00316,510404000000.00,HDFC Bank,A01325
AC00317,607252000000.00,State Bank of India,A01477
AC00318,607200000000.00,Karnataka Bank,A00620
AC00319,737002000000.00,State Bank of India,A00684
AC00320,438692000000.00,ICICI Bank,A00942
AC00321,705717000000.00,Axis Bank,A00429
AC00322,411864000000.00,HDFC Bank,A00878
AC00323,459406000000.00,Karnataka Bank,A00698
AC00324,881768000000.00,Canara Bank,A00877
AC00325,411202000000.00,State Bank of India,A01432
AC00326,838746000000.00,State Bank of India,A01898
AC00327,391374000000.00,ICICI Bank,A01531
AC00328,979368000000.00,HDFC Bank,A00120
AC00329,961190000000.00,Canara Bank,A01571
AC00330,654517000000.00,ICICI Bank,A00161
AC00331,396505000000.00,Axis Bank,A01887
AC00332,591047000000.00,Canara Bank,A00600
AC00333,798728000000.00,State Bank of India,A01784
AC00334,462654000000.00,Karnataka Bank,A00756
AC00335,555858000000.00,Karnataka Bank,A00101
AC00336,267140000000.00,Axis Bank,A01581
AC00337,561870000000.00,ICICI Bank,A01355
AC00338,218563000000.00,ICICI Bank,A00991
AC00339,392132000000.00,Union Bank of India,A01082
AC00340,797907000000.00,Union Bank of India,A01445
AC00341,529467000000.00,Axis Bank,A00119
AC00342,575766000000.00,State Bank of India,A01659
AC00343,814016000000.00,State Bank of India,A00521
AC00344,817063000000.00,Union Bank of India,A00173
AC00345,276636000000.00,Canara Bank,A01767
AC00346,511889000000.00,ICICI Bank,A00798
AC00347,323055000000.00,Karnataka Bank,A01268
AC00348,910109000000.00,HDFC Bank,A01722
AC00349,459383000000.00,Union Bank of India,A00668
AC00350,316103000000.00,ICICI Bank,A01870
AC00351,832624000000.00,Axis Bank,A01632
AC00352,712546000000.00,HDFC Bank,A00915
AC00353,637539000000.00,Karnataka Bank,A00826
AC00354,725465000000.00,HDFC Bank,A01199
AC00355,607077000000.00,Axis Bank,A01553
AC00356,797387000000.00,Karnataka Bank,A01404
AC00357,893882000000.00,Karnataka Bank,A00001
AC00358,393110000000.00,State Bank of India,A01267
AC00359,774188000000.00,Karnataka Bank,A00380
AC00360,974765000000.00,ICICI Bank,A01290
AC00361,367795000000.00,Union Bank of India,A01983
AC00362,438938000000.00,HDFC Bank,A01400
AC00363,321060000000.00,Canara Bank,A00612
AC00364,870448000000.00,Canara Bank,A01405
AC00365,311156000000.00,Canara Bank,A00991
AC00366,675194000000.00,HDFC Bank,A01029
AC00367,493936000000.00,Axis Bank,A00734
AC00368,920349000000.00,Karnataka Bank,A00467
AC00369,473574000000.00,ICICI Bank,A00928
AC00370,891411000000.00,HDFC Bank,A01013
AC00371,988963000000.00,State Bank of India,A01101
AC00372,127209000000.00,Canara Bank,A01071
AC00373,793773000000.00,Union Bank of India,A01249
AC00374,159948000000.00,Karnataka Bank,A00783
AC00375,323020000000.00,HDFC Bank,A01431
AC00376,699028000000.00,Karnataka Bank,A01394
AC00377,233102000000.00,Karnataka Bank,A00783
AC00378,968904000000.00,Karnataka Bank,A01759
AC00379,971956000000.00,ICICI Bank,A01728
AC00380,560455000000.00,Axis Bank,A00363
AC00381,540860000000.00,Canara Bank,A00240
AC00382,396923000000.00,Canara Bank,A01324
AC00383,587596000000.00,Canara Bank,A00503
AC00384,445798000000.00,ICICI Bank,A01945
AC00385,218276000000.00,Canara Bank,A00032
AC00386,576163000000.00,Axis Bank,A00209
AC00387,338510000000.00,HDFC Bank,A00989
AC00388,393990000000.00,Axis Bank,A01046
AC00389,783513000000.00,Union Bank of India,A01017
AC00390,112048000000.00,Canara Bank,A01805
AC00391,507710000000.00,Canara Bank,A01363
AC00392,236600000000.00,State Bank of India,A00570
AC00393,164470000000.00,ICICI Bank,A00060
AC00394,850102000000.00,State Bank of India,A01881
AC00395,453024000000.00,Axis Bank,A00831
AC00396,810942000000.00,Axis Bank,A00273
AC00397,356581000000.00,Karnataka Bank,A01466
AC00398,749367000000.00,HDFC Bank,A01504
AC00399,492583000000.00,State Bank of India,A01131
AC00400,851779000000.00,State Bank of India,A01709
AC00401,405968000000.00,Canara Bank,A01661
AC00402,802839000000.00,State Bank of India,A01563
AC00403,757862000000.00,Axis Bank,A01551
AC00404,840086000000.00,Karnataka Bank,A01601
AC00405,456518000000.00,ICICI Bank,A00083
AC00406,394647000000.00,Union Bank of India,A00905
AC00407,673086000000.00,Canara Bank,A01085
AC00408,669121000000.00,Karnataka Bank,A00603
AC00409,184282000000.00,Axis Bank,A01930
AC00410,147602000000.00,Canara Bank,A01789
AC00411,453355000000.00,State Bank of India,A01280
AC00412,406917000000.00,Canara Bank,A01655
AC00413,856525000000.00,Karnataka Bank,A01422
AC00414,647578000000.00,State Bank of India,A01688
AC00415,125141000000.00,Axis Bank,A00106
AC00416,699608000000.00,Axis Bank,A01859
AC00417,459199000000.00,Canara Bank,A01618
AC00418,176646000000.00,Karnataka Bank,A01786
AC00419,193475000000.00,Union Bank of India,A01199
AC00420,769113000000.00,ICICI Bank,A01307
AC00421,822818000000.00,State Bank of India,A01163
AC00422,384767000000.00,Union Bank of India,A01470
AC00423,155173000000.00,Canara Bank,A00739
AC00424,147330000000.00,Canara Bank,A00020
AC00425,934440000000.00,Karnataka Bank,A01868
AC00426,419699000000.00,Axis Bank,A00927
AC00427,387528000000.00,Canara Bank,A01090
AC00428,193564000000.00,State Bank of India,A01346
AC00429,303057000000.00,Canara Bank,A00106
AC00430,262252000000.00,State Bank of India,A00762
AC00431,873724000000.00,ICICI Bank,A00730
AC00432,221671000000.00,Axis Bank,A00963
AC00433,377097000000.00,State Bank of India,A01385
AC00434,431471000000.00,HDFC Bank,A01800
AC00435,595201000000.00,HDFC Bank,A01836
AC00436,964357000000.00,Union Bank of India,A00552
AC00437,292238000000.00,HDFC Bank,A01863
AC00438,252492000000.00,HDFC Bank,A01958
AC00439,886572000000.00,Axis Bank,A00375
AC00440,295405000000.00,Union Bank of India,A00212
AC00441,441912000000.00,Union Bank of India,A00996
AC00442,984064000000.00,HDFC Bank,A01212
AC00443,628806000000.00,Union Bank of India,A01558
AC00444,535098000000.00,ICICI Bank,A00036
AC00445,823768000000.00,Karnataka Bank,A00664
AC00446,204498000000.00,Canara Bank,A00854
AC00447,632158000000.00,Canara Bank,A00986
AC00448,560493000000.00,Axis Bank,A00806
AC00449,405615000000.00,Axis Bank,A01532
AC00450,212169000000.00,Axis Bank,A01060
AC00451,909517000000.00,State Bank of India,A01361
AC00452,200716000000.00,State Bank of India,A00487
AC00453,974436000000.00,Axis Bank,A01043
AC00454,787976000000.00,Union Bank of India,A00144
AC00455,699015000000.00,Canara Bank,A01291
AC00456,772141000000.00,Karnataka Bank,A00321
AC00457,350307000000.00,HDFC Bank,A01201
AC00458,696711000000.00,Karnataka Bank,A00797
AC00459,185034000000.00,Canara Bank,A00520
AC00460,831639000000.00,HDFC Bank,A01713
AC00461,294260000000.00,Union Bank of India,A00881
AC00462,946281000000.00,Canara Bank,A00944
AC00463,822849000000.00,State Bank of India,A01116
AC00464,957643000000.00,State Bank of India,A01888
AC00465,946350000000.00,HDFC Bank,A00493
AC00466,618800000000.00,Union Bank of India,A01579
AC00467,399895000000.00,Axis Bank,A01310
AC00468,544413000000.00,Axis Bank,A01403
AC00469,436625000000.00,HDFC Bank,A01117
AC00470,258025000000.00,Canara Bank,A01926
AC00471,844546000000.00,State Bank of India,A01810
AC00472,832200000000.00,HDFC Bank,A00388
AC00473,525643000000.00,State Bank of India,A00349
AC00474,374977000000.00,Karnataka Bank,A01452
AC00475,758482000000.00,State Bank of India,A01465
AC00476,758534000000.00,ICICI Bank,A01997
AC00477,959900000000.00,Karnataka Bank,A00005
AC00478,242193000000.00,ICICI Bank,A01415
AC00479,398939000000.00,Canara Bank,A00508
AC00480,932997000000.00,Axis Bank,A00488
AC00481,978649000000.00,Union Bank of India,A00931
AC00482,195631000000.00,Karnataka Bank,A01952
AC00483,551549000000.00,Karnataka Bank,A00643
AC00484,572158000000.00,State Bank of India,A01460
AC00485,802597000000.00,State Bank of India,A00148
AC00486,826394000000.00,ICICI Bank,A00242
AC00487,205879000000.00,Karnataka Bank,A00556
AC00488,178221000000.00,HDFC Bank,A00855
AC00489,509757000000.00,HDFC Bank,A00537
AC00490,825066000000.00,Union Bank of India,A01870
AC00491,321893000000.00,Axis Bank,A01393
AC00492,482589000000.00,Union Bank of India,A01874
AC00493,770786000000.00,Canara Bank,A01777
AC00494,667037000000.00,Axis Bank,A01010
AC00495,450813000000.00,ICICI Bank,A01418
AC00496,648655000000.00,Karnataka Bank,A00885
AC00497,363515000000.00,Canara Bank,A00623
AC00498,284387000000.00,Union Bank of India,A01470
AC00499,512896000000.00,ICICI Bank,A01635
AC00500,313334000000.00,Canara Bank,A01628
AC00501,429625000000.00,Union Bank of India,A00499
AC00502,497756000000.00,Union Bank of India,A01899
AC00503,946227000000.00,Axis Bank,A00669
AC00504,301164000000.00,ICICI Bank,A00391
AC00505,378160000000.00,Canara Bank,A00871
AC00506,957203000000.00,Axis Bank,A00414
AC00507,855127000000.00,Union Bank of India,A00022
AC00508,600319000000.00,HDFC Bank,A00770
AC00509,682089000000.00,Axis Bank,A00840
AC00510,222649000000.00,State Bank of India,A01695
AC00511,226040000000.00,State Bank of India,A01011
AC00512,681752000000.00,Canara Bank,A00592
AC00513,180720000000.00,Canara Bank,A01865
AC00514,970308000000.00,Karnataka Bank,A00768
AC00515,505078000000.00,Karnataka Bank,A00873
AC00516,571833000000.00,Union Bank of India,A00225
AC00517,998550000000.00,ICICI Bank,A01474
AC00518,916005000000.00,Canara Bank,A00422
AC00519,403969000000.00,Axis Bank,A01982
AC00520,685093000000.00,State Bank of India,A01652
AC00521,920429000000.00,State Bank of India,A00473
AC00522,285382000000.00,Union Bank of India,A01100
AC00523,131503000000.00,HDFC Bank,A00579
AC00524,445392000000.00,ICICI Bank,A01834
AC00525,170189000000.00,Canara Bank,A00813
AC00526,397574000000.00,ICICI Bank,A00070
AC00527,730971000000.00,ICICI Bank,A01681
AC00528,562245000000.00,Canara Bank,A01582
AC00529,890749000000.00,Canara Bank,A00158
AC00530,610476000000.00,ICICI Bank,A01187
AC00531,538955000000.00,Canara Bank,A01291
AC00532,317648000000.00,Axis Bank,A00170
AC00533,504917000000.00,HDFC Bank,A01420
AC00534,267186000000.00,ICICI Bank,A00370
AC00535,655980000000.00,State Bank of India,A01874
AC00536,258004000000.00,Axis Bank,A01002
AC00537,702671000000.00,Canara Bank,A01117
AC00538,668529000000.00,Karnataka Bank,A00099
AC00539,929631000000.00,Canara Bank,A00158
AC00540,422932000000.00,State Bank of India,A00473
AC00541,198297000000.00,State Bank of India,A01206
AC00542,664789000000.00,HDFC Bank,A00929
AC00543,528280000000.00,Karnataka Bank,A00134
AC00544,915783000000.00,HDFC Bank,A00609
AC00545,486730000000.00,Karnataka Bank,A00139
AC00546,833837000000.00,ICICI Bank,A01139
AC00547,524396000000.00,Canara Bank,A01251
AC00548,731865000000.00,Karnataka Bank,A00623
AC00549,920410000000.00,HDFC Bank,A01868
AC00550,437905000000.00,State Bank of India,A00211
AC00551,451344000000.00,Karnataka Bank,A00725
AC00552,486369000000.00,Karnataka Bank,A00024
AC00553,824714000000.00,ICICI Bank,A01590
AC00554,710514000000.00,Karnataka Bank,A00784
AC00555,468748000000.00,Canara Bank,A01285
AC00556,956686000000.00,ICICI Bank,A01733
AC00557,435234000000.00,Canara Bank,A00199
AC00558,620752000000.00,ICICI Bank,A00115
AC00559,784829000000.00,Axis Bank,A00710
AC00560,922901000000.00,Canara Bank,A00378
AC00561,604152000000.00,Karnataka Bank,A00339
AC00562,797966000000.00,HDFC Bank,A00646
AC00563,430017000000.00,ICICI Bank,A00165
AC00564,873663000000.00,HDFC Bank,A00255
AC00565,624788000000.00,State Bank of India,A00662
AC00566,286795000000.00,Karnataka Bank,A01811
AC00567,819813000000.00,HDFC Bank,A01798
AC00568,229875000000.00,ICICI Bank,A01141
AC00569,687736000000.00,Union Bank of India,A00829
AC00570,609077000000.00,ICICI Bank,A01173
AC00571,614877000000.00,State Bank of India,A01737
AC00572,839223000000.00,Axis Bank,A01646
AC00573,102941000000.00,Axis Bank,A01329
AC00574,390553000000.00,Canara Bank,A00170
AC00575,911095000000.00,Karnataka Bank,A01144
AC00576,803251000000.00,ICICI Bank,A01394
AC00577,674293000000.00,HDFC Bank,A01210
AC00578,688000000000.00,Canara Bank,A01535
AC00579,856001000000.00,Union Bank of India,A00381
AC00580,972050000000.00,Karnataka Bank,A01626
AC00581,561452000000.00,ICICI Bank,A00028
AC00582,594981000000.00,HDFC Bank,A01030
AC00583,468123000000.00,Axis Bank,A01342
AC00584,752485000000.00,HDFC Bank,A01639
AC00585,958448000000.00,Union Bank of India,A01553
AC00586,740654000000.00,HDFC Bank,A01453
AC00587,933904000000.00,HDFC Bank,A01594
AC00588,282030000000.00,Karnataka Bank,A00187
