Phone_ID,Phone_Number,Accused_ID
P00195,9509899023,A00252
P00196,9744140900,A00436
P00197,9594541199,A00968
P00198,9407481399,A01436
P00199,9201408583,A01908
P00200,9883423487,A01260
P00201,9271140687,A01290
P00202,9174658245,A00018
P00203,9894735003,A00622
P00204,9998106276,A00518
P00205,9132867038,A00896
P00206,9115568270,A01593
P00207,9934555894,A01922
P00208,9140025280,A01379
P00209,9934830378,A01329
P00210,9841966695,A01766
P00211,9722353763,A01548
P00212,9784391443,A01900
P00213,9731076897,A01576
P00214,9947091250,A00765
P00215,9297044074,A01482
P00216,9826918650,A00557
P00217,9350220832,A00586
P00218,9821519269,A01678
P00219,9850358203,A00221
P00220,9162361021,A00853
P00221,9253158815,A01690
P00222,9454396921,A00036
P00223,9363500436,A01072
P00224,9469529042,A00332
P00225,9699983849,A01300
P00226,9871651149,A00537
P00227,9587160103,A01649
P00228,9792752236,A00733
P00229,9384668367,A01338
P00230,9985136657,A01402
P00231,9886472673,A01257
P00232,9990898068,A00420
P00233,9637620784,A01795
P00234,9780588329,A01190
P00235,9553559556,A00044
P00236,9286071508,A00163
P00237,9528970147,A00256
P00238,9845823021,A00361
P00239,9249999024,A01959
P00240,9268243302,A01201
P00241,9835497136,A00640
P00242,9700412847,A01359
P00243,9662443077,A01681
P00244,9534658648,A00661
P00245,9822918888,A01394
P00246,9719015903,A00996
P00247,9459178100,A00752
P00248,9825655953,A01323
P00249,9729021257,A00701
P00250,9728477860,A00800
P00251,9454766551,A01619
P00252,9733747817,A01580
P00253,9645772723,A00264
P00254,9840176208,A01809
P00255,9624957966,A01987
P00256,9805809213,A01295
P00257,9575143100,A00731
P00258,9445712587,A01337
P00259,9271876822,A01735
P00260,9608435494,A00397
P00261,9157446149,A00090
P00262,9239321353,A00900
P00263,9755609310,A01145
P00264,9101050978,A01901
P00265,9868091525,A00584
P00266,9976944950,A00822
P00267,9869434052,A01858
P00268,9194415977,A01573
P00269,9986816161,A00692
P00270,9287047999,A01020
P00271,9336326886,A00370
P00272,9399042518,A01715
P00273,9685768450,A00340
P00274,9761959018,A01395
P00275,9227462939,A00083
P00276,9269224081,A00387
P00277,9653343932,A01791
P00278,9888689645,A01425
P00279,9834473374,A01267
P00280,9895436985,A01153
P00281,9498800230,A01372
P00282,9333360771,A01153
P00283,9877350948,A01120
P00284,9175324639,A01353
P00285,9779076021,A00244
P00286,9655192962,A00419
P00287,9767194935,A01511
P00288,9725043029,A01800
P00289,9847741428,A00150
P00290,9802657088,A01182
P00291,9372705799,A01701
P00292,9420349890,A00445
P00293,9897625129,A00487
P00294,9793235473,A01719
P00295,9920699097,A00472
P00296,9860088349,A00027
P00297,9391040626,A00523
P00298,9810900601,A01536
P00299,9384895833,A01950
P00300,9684207204,A01339
P00301,9390711463,A00706
P00302,9854938746,A00263
P00303,9777414037,A01293
P00304,9591934058,A01349
P00305,9192800976,A01983
P00306,9862770447,A00947
P00307,9672670463,A01454
P00308,9509838151,A01851
P00309,9245894333,A00683
P00310,9830751306,A01546
P00311,9233289712,A01723
P00312,9913342021,A00162
P00313,9680357015,A00223
P00314,9524687038,A01749
P00315,9136727552,A01877
P00316,9279896377,A00731
P00317,9932264608,A01975
P00318,9143546611,A00594
P00319,9392624290,A00360
P00320,9356384905,A01079
P00321,9792652320,A01777
P00322,9233738353,A00107
P00323,9813177626,A00664
P00324,9883245223,A01462
P00325,9426711618,A00701
P00326,9870901234,A00941
P00327,9688204257,A00870
P00328,9659867449,A00363
P00329,9617359484,A00414
P00330,9634223275,A00506
P00331,9296068567,A01212
P00332,9136343074,A00991
P00333,9933779646,A00123
P00334,9921281519,A01827
P00335,9232472137,A00120
P00336,9440517257,A01909
P00337,9490499073,A01564
P00338,9247917212,A01724
P00339,9471357960,A00875
P00340,9623702672,A01406
P00341,9480620143,A01615
P00342,9261077446,A01794
P00343,9865232117,A01239
P00344,9816296483,A00346
P00345,9742134808,A00344
P00346,9928324889,A00767
P00347,9158891821,A01179
P00348,9725471785,A00737
P00349,9927181511,A01253
P00350,9750493516,A00537
P00351,9536785874,A01058
P00352,9358887865,A00772
P00353,9145732903,A01105
P00354,9615061376,A01633
P00355,9218514248,A00739
P00356,9470886285,A00593
P00357,9395725607,A01484
P00358,9202539830,A00949
P00359,9472132127,A00334
P00360,9872837829,A00469
P00361,9117708057,A01566
P00362,9902992967,A01627
P00363,9209715340,A01435
P00364,9450359454,A01949
P00365,9479459578,A00574
P00366,9751663228,A00669
P00367,9874038326,A01834
P00368,9852083755,A01404
P00369,9185725022,A01532
P00370,9976426471,A01595
P00371,9918284214,A01217
P00372,9216272497,A01552
P00373,9116217736,A00326
P00374,9395974850,A01446
P00375,9887022566,A01222
P00376,9447136055,A01117
P00377,9201653819,A00294
P00378,9380577556,A01523
P00379,9429940428,A01663
P00380,9149800257,A00815
P00381,9765753916,A01637
P00382,9436251019,A01802
P00383,9853661263,A00631
P00384,9701821479,A00836
P00385,9767936481,A00068
P00386,9642310429,A01682
P00387,9668203866,A00970
P00388,9440988447,A01269
P00389,9604863178,A00983
P00390,9796024892,A00050
P00391,9733731448,A01945
P00392,9152259178,A01301
P00393,9313504587,A00647
P00394,9289379907,A01311
P00395,9206344931,A01034
P00396,9143164807,A01081
P00397,9239680919,A01915
P00398,9631050042,A01872
P00399,9592765843,A01203
P00400,9350109304,A01083
P00401,9625199208,A00079
P00402,9337737570,A01583
P00403,9465531442,A01984
P00404,9427912372,A00172
P00405,9710026154,A00629
P00406,9205822300,A00815
P00407,9191724569,A01033
P00408,9632502205,A00810
P00409,9414604410,A01026
P00410,9769840503,A01007
P00411,9242495568,A01147
P00412,9133260532,A01612
P00413,9744101848,A01398
P00414,9493556189,A01413
P00415,9897677436,A01310
P00416,9599301466,A00625
P00417,9172344341,A00828
P00418,9748964984,A00002
P00419,9481145944,A01865
P00420,9844080200,A00491
P00421,9783742314,A00105
P00422,9807340782,A00543
P00423,9211279860,A01485
P00424,9773063926,A01018
P00425,9110600750,A01568
P00426,9514399461,A00889
P00427,9744584598,A01290
P00428,9999686617,A01689
P00429,9911954876,A00647
P00430,9481825892,A00712
P00431,9746711597,A01495
P00432,9809642204,A00534
P00433,9518709408,A01368
P00434,9429124576,A00966
P00435,9690107314,A00435
P00436,9286082930,A01978
P00437,9581339012,A00220
P00438,9482828931,A01899
P00439,9800149736,A01004
P00440,9259739014,A01904
P00441,9241118335,A00650
P00442,9785510121,A00154
P00443,9636072252,A01006
P00444,9831177333,A00377
P00445,9462511135,A01145
P00446,9943264445,A01664
P00447,9345220560,A01496
P00448,9979179457,A00046
P00449,9913037579,A00469
P00450,9487803541,A01614
P00451,9291578978,A00486
P00452,9728432493,A00356
P00453,9559116778,A00324
P00454,9436074984,A00083
P00455,9991772912,A01799
P00456,9904885227,A00957
P00457,9933831212,A00418
P00458,9973017350,A00991
P00459,9680119404,A00578
P00460,9563248289,A00197
P00461,9842584918,A01664
P00462,9383124496,A00897
P00463,9110277020,A00681
P00464,9238668415,A01807
P00465,9488473509,A01592
P00466,9764697879,A01007
P00467,9456100553,A01358
P00468,9475615819,A01490
P00469,9291009290,A01568
P00470,9221889056,A01805
P00471,9194606095,A00228
P00472,9782256376,A00090
P00473,9397124613,A00725
P00474,9359920682,A01387
P00475,9284733309,A01775
P00476,9539457400,A00791
P00477,9515192784,A01801
P00478,9441109853,A01798
P00479,9267653647,A00888
P00480,9659619096,A00186
P00481,9815288339,A01627
P00482,9224483742,A00345
P00483,9904961502,A01919
P00484,9673862402,A01453
P00485,9869685836,A00630
P00486,9641682895,A01807
P00487,9620405354,A01478
P00488,9949372086,A00430
P00489,9755360894,A01513
P00490,9928171042,A00354
P00491,9151173319,A01460
P00492,9504079056,A00991
P00493,9359908503,A01917
P00494,9727566370,A00480
P00495,9629244266,A01858
P00496,9402477208,A01773
P00497,9281474639,A00863
P00498,9779705528,A00390
P00499,9619584204,A00473
P00500,9211665918,A01148
P00501,9817861833,A01367
P00502,9646582086,A01257
P00503,9514938884,A00209
P00504,9302182020,A00178
P00505,9161887243,A01088
P00506,9208439364,A01303
P00507,9515044201,A00074
P00508,9746055858,A00850
P00509,9363487897,A01306
P00510,9857717819,A01403
P00511,9321480388,A00035
P00512,9582174375,A01736
P00513,9378520288,A00754
P00514,9493589701,A01464
P00515,9238875361,A00601
P00516,9963070837,A00023
P00517,9952108209,A00564
P00518,9208569586,A00145
P00519,9276390174,A00815
P00520,9215148866,A01309
P00521,9986756620,A00795
P00522,9131000823,A01799
P00523,9219410356,A01645
P00524,9405607821,A01680
P00525,9733616466,A00785
P00526,9441917537,A01509
P00527,9359331801,A01059
P00528,9244848656,A00382
P00529,9171669326,A00462
P00530,9856159837,A01077
P00531,9626969428,A00983
P00532,9839519226,A01432
P00533,9243444678,A01763
P00534,9487134871,A00411
P00535,9845269851,A00920
P00536,9641554568,A00415
P00537,9545687041,A01279
P00538,9471955490,A01882
P00539,9599578160,A01889
P00540,9848781220,A01128
P00541,9322919986,A01122
P00542,9326921178,A00895
P00543,9585722378,A00886
P00544,9427714748,A00432
P00545,9439740251,A00485
P00546,9339701101,A00707
P00547,9135295289,A01186
P00548,9447447701,A00883
P00549,9935197612,A00220
P00550,9909142516,A01420
P00551,9316969931,A01749
P00552,9296133957,A00777
P00553,9912187262,A01405
P00554,9292982727,A01929
P00555,9519165801,A01484
P00556,9331335227,A00584
P00557,9721806256,A01347
P00558,9620062954,A01575
P00559,9208851700,A01242
P00560,9189140181,A01014
P00561,9723529696,A00983
P00562,9159765469,A01228
P00563,9109184320,A00503
P00564,9699407485,A00310
P00565,9687200928,A00549
P00566,9541339399,A00874
P00567,9142638427,A01873
P00568,9320995280,A00126
P00569,9454204701,A01967
P00570,9709788466,A01221
P00571,9648914465,A00064
P00572,9871140512,A01947
P00573,9972153421,A00801
P00574,9285982654,A00545
P00575,9553277235,A00397
P00576,9510470540,A01500
P00577,9480560018,A00048
P00578,9935366541,A01958
P00579,9402977537,A01526
P00580,9589605418,A00638
P00581,9731300790,A01605
P00582,9977440209,A01104
P00583,9907687886,A01433
P00584,9972086795,A01680
P00585,9431747390,A01893
P00586,9365148088,A01215
P00587,9989309275,A01867
P00588,9866745194,A01370
P00589,9288483084,A01056
P00590,9715256050,A00117
P00591,9115801181,A01338
P00592,9813384431,A00589
P00593,9751404441,A00147
P00594,9307619045,A01383
P00595,9232429203,A01253
P00596,9632884263,A00676
P00597,9842660001,A00044
P00598,9728931910,A00274
P00599,9119224096,A00720
P00600,9452202781,A00018
P00601,9891728381,A00117
P00602,9608996959,A01005
P00603,9191860603,A01357
P00604,9706143757,A01169
P00605,9764068190,A00651
P00606,9642296379,A00713
P00607,9177350049,A00523
P00608,9538504178,A00162
P00609,9408112155,A00367
P00610,9366787754,A00928
P00611,9871264150,A00021
P00612,9784085196,A01481
P00613,9742221916,A00414
P00614,9115151483,A01716
P00615,9773809720,A00649
P00616,9788504518,A00329
P00617,9200455496,A01744
P00618,9628633803,A00424
P00619,9695496398,A01055
P00620,9828478530,A01387
P00621,9595293347,A01173
P00622,9599124074,A00810
P00623,9477018674,A01331
P00624,9934108093,A01222
P00625,9547249870,A01952
P00626,9278578223,A00237
P00627,9807267593,A01170
P00628,9405750351,A00157
P00629,9463217507,A00590
P00630,9358156584,A00981
P00631,9456440835,A00513
P00632,9657805608,A01483
P00633,9935161443,A00614
P00634,9194939056,A00913
P00635,9604527209,A01605
P00636,9868186999,A01539
P00637,9205839019,A00745
P00638,9102558811,A01472
P00639,9947998987,A00647
P00640,9524287234,A00975
P00641,9385348759,A01446
P00642,9622506713,A01321
P00643,9957251624,A01898
P00644,9150714727,A01124
P00645,9111038475,A01452
P00646,9470780582,A01489
P00647,9625569238,A00986
P00648,9432249415,A01948
P00649,9720891220,A00702
P00650,9526979537,A00726
P00651,9316026123,A01463
P00652,9525231143,A01520
P00653,9392201115,A01838
P00654,9108711594,A00958
P00655,9782041593,A00667
P00656,9809359069,A01372
P00657,9805644410,A01519
P00658,9858561498,A00106
P00659,9877923933,A00673
P00660,9463524133,A01018
P00661,9382023469,A01048
P00662,9348205193,A01554
P00663,9477010681,A00076
P00664,9972872465,A00890
P00665,9417253850,A01996
P00666,9446213627,A01919
P00667,9597469623,A00878
P00668,9495901027,A00375
P00669,9576976882,A01287
P00670,9354708782,A01784
P00671,9979110543,A01307
P00672,9253747650,A00928
P00673,9516732325,A01806
P00674,9335960923,A00296
P00675,9676659410,A00068
P00676,9740124439,A01709
P00677,9997128901,A01111
P00678,9567650901,A01406
P00679,9279350414,A00058
P00680,9130158227,A01201
P00681,9562352427,A01455
P00682,9522577734,A01194
P00683,9481143155,A01373
P00684,9568004272,A00269
P00685,9742434099,A01953
P00686,9196004231,A00577
P00687,9443989482,A00533
P00688,9846656264,A00794
P00689,9146705628,A00242
P00690,9889709031,A01264
P00691,9687584045,A01000
P00692,9748290923,A00632
P00693,9438544687,A01734
P00694,9349738178,A01169
P00695,9683445405,A01772
P00696,9554663427,A00862
P00697,9670236614,A01559
P00698,9424987423,A01349
P00699,9875500225,A00303
P00700,9404471825,A00933
P00701,9573162420,A01476
P00702,9378253344,A00401
P00703,9471509667,A01643
P00704,9528386696,A01059
P00705,9498785658,A01168
P00706,9265582831,A01876
P00707,9497005332,A01968
P00708,9758970359,A01961
P00709,9197367611,A01690
P00710,9641092797,A00284
P00711,9266886915,A01738
P00712,9729124474,A01300
P00713,9283267552,A01935
P00714,9888474161,A00333
P00715,9562923404,A00843
P00716,9257824806,A00600
P00717,9497478032,A01666
P00718,9250933911,A01119
P00719,9373414745,A01942
P00720,9321231346,A00706
P00721,9727619286,A00167
P00722,9517761724,A00136
P00723,9151633133,A01727
P00724,9421341676,A01893
P00725,9479297710,A01078
P00726,9910796282,A01941
P00727,9950521727,A00568
P00728,9741111018,A01238
P00729,9912409726,A00437
P00730,9964735007,A01433
P00731,9725893562,A00789
P00732,9815232654,A00484
P00733,9257960179,A01908
P00734,9792441475,A01412
P00735,9520068011,A00002
P00736,9427440900,A01698
P00737,9757239011,A00303
P00738,9624336467,A01995
P00739,9586976076,A01714
P00740,9187680684,A00234
P00741,9487073352,A00177
P00742,9926653798,A00609
P00743,9464079379,A01537
P00744,9415478417,A00173
P00745,9848383231,A01792
P00746,9616399985,A00357
P00747,9860840995,A01302
P00748,9692821505,A00092
P00749,9174947292,A00387
P00750,9446812516,A00050
P00751,9161244659,A00278
P00752,9372100501,A00112
P00753,9544728478,A00935
P00754,9932582156,A00176
P00755,9945200858,A00206
P00756,9779534436,A00185
P00757,9314407822,A00206
P00758,9428461968,A01198
P00759,9830366759,A00929
P00760,9979703341,A00692
P00761,9287086417,A00322
P00762,9512734871,A01155
P00763,9852417311,A00071
P00764,9510885367,A00020
P00765,9622582654,A01989
P00766,9354010330,A01919
P00767,9994775201,A01366
P00768,9476821937,A00738
P00769,9720347892,A00171
P00770,9203073741,A01069
P00771,9502575545,A01237
P00772,9745698492,A01455
P00773,9831820282,A01295
P00774,9723878403,A00223
P00775,9264976844,A01559
P00776,9474757525,A00737
P00777,9696821412,A01267
P00778,9410949557,A00295
P00779,9808349192,A00624
P00780,9324343981,A00866
P00781,9442104871,A01878
P00782,9823015916,A01073
P00783,9316433044,A01421
P00784,9658262593,A01837
P00785,9146767276,A01903
P00786,9734696452,A01049
P00787,9429741493,A00510
P00788,9301082360,A00914
P00789,9517501776,A00667
P00790,9853006756,A01629
P00791,9311361317,A01763
P00792,9747442936,A01663
P00793,9574318603,A00965
P00794,9891938315,A01397
P00795,9760812259,A00277
P00796,9896937081,A01703
P00797,9707156910,A01952
P00798,9421554376,A00970
P00799,9946910427,A01941
P00800,9604071166,A01518
P00801,9631930326,A00211
P00802,9170475845,A00230
P00803,9820661328,A01507
P00804,9646935234,A00269
P00805,9534563677,A00517
P00806,9128795749,A00538
P00807,9951890585,A01992
P00808,9364171528,A01200
P00809,9732415739,A00711
P00810,9257316499,A00515
P00811,9745522999,A00108
P00812,9166199597,A01557
P00813,9380626849,A01735
P00814,9758773647,A00544
P00815,9143282799,A01972
P00816,9848535828,A01408
P00817,9409039325,A01224
P00818,9240738466,A00479
P00819,9194910094,A00253
P00820,9597732514,A00292
P00821,9329279378,A01474
P00822,9873275465,A01667
P00823,9998412987,A01118
P00824,9244393664,A01540
P00825,9211932345,A00289
P00826,9555196882,A01506
P00827,9388239938,A01478
P00828,9558722408,A00916
P00829,9705394562,A01089
P00830,9152758146,A01442
P00831,9353974953,A01134
P00832,9267974708,A00137
P00833,9544015029,A00657
P00834,9958461434,A00371
P00835,9122396640,A00616
P00836,9347921739,A01436
P00837,9283364699,A00389
P00838,9836104799,A00259
P00839,9868820811,A00053
P00840,9642824226,A00330
P00841,9381950577,A00991
P00842,9118108557,A00468
P00843,9538850624,A01195
P00844,9289001616,A00294
P00845,9324704099,A00557
P00846,9747825655,A00579
P00847,9867153156,A00036
P00848,9143897888,A01421
P00849,9956890706,A01088
P00850,9689180454,A01221
P00851,9406200291,A00238
P00852,9640102718,A01249
P00853,9444928252,A01791
P00854,9770946338,A01657
P00855,9266560716,A00932
P00856,9234753375,A00504
P00857,9388878213,A00871
P00858,9826906882,A01697
P00859,9121190677,A00434
P00860,9255212181,A01918
P00861,9553094921,A01085
P00862,9313789181,A01818
P00863,9187584515,A00352
P00864,9556386236,A00120
P00865,9935721008,A00277
P00866,9685409388,A00144
P00867,9819773612,A01359
P00868,9858582186,A01934
P00869,9405700714,A00909
P00870,9174403379,A00134
P00871,9128965080,A00237
P00872,9619858960,A01297
P00873,9422889368,A00708
P00874,9176280580,A00554
P00875,9831485550,A00448
P00876,9489479113,A01488
P00877,9722751974,A00190
P00878,9234876974,A00145
P00879,9889655117,A00290
P00880,9512997711,A01802
P00881,9595120224,A00943
P00882,9670379338,A00077
P00883,9629433468,A00091
P00884,9861030161,A00749
P00885,9477353455,A00816
P00886,9272690973,A01518
P00887,9957724466,A00318
P00888,9779607861,A01949
P00889,9850047580,A00026
P00890,9513063268,A00392
P00891,9761945833,A01290
P00892,9346176226,A01525
P00893,9320392267,A00247
P00894,9147092084,A01267
P00895,9318541256,A00765
P00896,9828164941,A00797
P00897,9600255438,A00786
P00898,9591989609,A01297
P00899,9362793390,A01770
P00900,9925516470,A00774
P00901,9751927772,A01594
P00902,9209397676,A01079
P00903,9757248513,A00853
P00904,9784836659,A00159
P00905,9247882278,A01549
P00906,9929488353,A00953
P00907,9445210878,A00521
P00908,9394200246,A01335
P00909,9457137360,A00805
P00910,9996413647,A01730
P00911,9193719818,A01452
P00912,9294402206,A00095
P00913,9737812281,A00702
P00914,9485433683,A01029
P00915,9837715530,A01330
P00916,9792114446,A01227
P00917,9224623755,A00517
P00918,9717802300,A00684
P00919,9327140478,A00004
P00920,9202757512,A00955
P00921,9803339282,A01788
P00922,9527820772,A01848
P00923,9684558815,A00250
P00924,9280879155,A01314
P00925,9290770564,A01282
P00926,9342002911,A01625
P00927,9269925209,A00800
P00928,9290083862,A01847
P00929,9523863190,A00184
P00930,9836394118,A01943
P00931,9207419586,A00156
P00932,9402828447,A01633
P00933,9344382245,A00090
P00934,9865500282,A00184
P00935,9379720718,A00589
P00936,9126503369,A00427
P00937,9943188199,A00210
P00938,9647202921,A00097
P00939,9173643700,A00792
P00940,9689900845,A01953
P00941,9376355726,A01392
P00942,9654017427,A01098
P00943,9826557208,A00428
P00944,9230770030,A01675
P00945,9446274142,A01994
P00946,9737969765,A01792
P00947,9738394818,A01010
P00948,9969960890,A00772
P00949,9870003201,A01147
P00950,9314275946,A01656
P00951,9312202984,A00697
P00952,9779391434,A01410
P00953,9211894153,A00849
P00954,9335420096,A01944
P00955,9228762571,A01064
P00956,9631424869,A00461
P00957,9790677667,A00240
P00958,9987472843,A01956
P00959,9467656011,A01969
P00960,9997785347,A00769
P00961,9751791285,A00587
P00962,9319050940,A00094
P00963,9998175286,A00527
P00964,9804991844,A01518
P00965,9597620567,A01913
P00966,9575707447,A00403
P00967,9783643786,A01657
P00968,9198983023,A01420
P00969,9615987454,A01828
P00970,9231172802,A01290
P00971,9149181114,A01652
P00972,9723924625,A01765
P00973,9229373325,A00857
P00974,9680467216,A00698
P00975,9373403761,A00256
P00976,9568692917,A00841
P00977,9220875182,A00735
P00978,9109379583,A01223
P00979,9571996141,A01663
P00980,9384978327,A01786
P00981,9977227481,A01980
P00982,9324527685,A00102
P00983,9867738019,A00093
P00984,9877855512,A00233
P00985,9734165628,A00938
P00986,9387477684,A01458
P00987,9429466179,A00897
P00988,9107708768,A00922
P00989,9388623918,A01802
P00990,9714282658,A01998
P00991,9787129941,A01037
P00992,9819546867,A00533
P00993,9535185420,A00444
P00994,9889757706,A01468
P00995,9575405821,A01862
P00996,9857938292,A01086
P00997,9246326184,A00544
P00998,9326233416,A00602
P00999,9805680988,A01195
P01000,9282828272,A00263
P01001,9192418217,A00426
P01002,9155524945,A01134
P01003,9164603116,A00576
P01004,9924969135,A01482
P01005,9770645653,A01415
P01006,9400749074,A01935
P01007,9923957162,A01216
P01008,9644316558,A00914
P01009,9456962135,A01961
P01010,9576151928,A01887
P01011,9459007376,A00431
P01012,9640173149,A00013
P01013,9884385842,A00994
P01014,9804478628,A00674
P01015,9693640391,A01177
P01016,9715782093,A01188
P01017,9314809245,A00559
P01018,9193355392,A00825
P01019,9205283526,A01839
P01020,9514648681,A01553
P01021,9225484058,A00477
P01022,9700311309,A01756
P01023,9761035246,A00255
P01024,9162902118,A00902
P01025,9765987831,A00212
P01026,9321661782,A00885
P01027,9601864608,A01066
P01028,9225764245,A00651
P01029,9364899092,A00384
P01030,9888589453,A01928
P01031,9813270168,A01281
P01032,9536939832,A01394
P01033,9576616251,A01461
P01034,9394303073,A01342
P01035,9784015459,A01147
P01036,9860781741,A00209
P01037,9396096920,A00692
P01038,9891808956,A00385
P01039,9495453046,A00408
P01040,9689786147,A01890
P01041,9705922533,A01122
P01042,9713642686,A00248
P01043,9936951997,A00490
P01044,9368729482,A00216
P01045,9716236916,A00957
P01046,9915014089,A01908
P01047,9962848219,A01236
P01048,9829437677,A00729
P01049,9505248144,A00062
P01050,9915110366,A01423
P01051,9136545443,A00983
P01052,9159037962,A01870
P01053,9860589810,A00568
P01054,9931308908,A00433
P01055,9223261663,A00365
P01056,9985601221,A01641
P01057,9729958010,A01156
P01058,9739438002,A00132
P01059,9136942239,A00776
P01060,9301928686,A00891
P01061,9218282484,A01325
P01062,9169491833,A00415
P01063,9210175661,A01021
P01064,9409890947,A01815
P01065,9253781315,A01663
P01066,9903605927,A00921
P01067,9649575193,A01791
P01068,9453972839,A00646
P01069,9447474863,A01018
P01070,9378159948,A00907
P01071,9337807245,A01968
P01072,9899882840,A01681
P01073,9765742064,A00993
